wk, Date,Quarter,First day (+/-),Week label,Category,Title,Message,Try This,Title 1,URL1,Title 2,URL2,Title 3,URL3,Title 4,URL4
-1,9.17.18,autumn,-10,Week 0,Learning Network,Make Connections,"Meeting others is your key to happiness–really! The more people you meet, the more you'll feel a sense of connection and belonging at UW.",Go to three Dawg Daze events that interest you. Find someone friendly and introduce yourself. People all over campus are excited to welcome transfer students.,Dawg Daze Events for Transfer Students,http://fyp.washington.edu/ddtransfer,Dawg Daze for Tranfer Students,https://www.youtube.com/watch?v=WnoiAwN8ZhU&feature=youtu.be,,,,
1,9.24.18,autumn,-3,Week 1,Life & Wellness,Welcome to UW!,"Welcome to your first week at the University of Washington. Remember that lots of people are here to help you as you transition, not to college, but to UW. ","Talk to people in your classes, visit the office hours of one of your professors, make a weekly schedule, and check out the Commuter and Transfer Commons. ",Commuter and Transfer Commons,http://depts.washington.edu/hub141/,The Transfer Student Experience,https://vimeo.com/169323144/c6a1491199,Time Management Tips,https://webster.uaa.washington.edu/asp/website/get-help/helpful-tips/time-management/,,
2,10.1.18,autumn,4,Week 2,Learning Network,"Find Your People, Make Your Place",There are many opportunities for learning and connection outside the classroom. Build your skills and broaden your network by connecting around campus.,"Maintain your connections from before UW but also take advantage of your new community. Talk to a professor during office hours, strike up a conversation with someone on your commute, or explore an interest by attending a student group meeting. ",Student Activities Office,http://depts.washington.edu/thehub/sao/,Ethnic Cultural Center,http://depts.washington.edu/ecc/,UW Recreation,http://www.washington.edu/ima/,,
3,10.8.18,autumn,11,Week 3,Study Skills,"Study Smarter, Not Harder",Making the academic transition to UW can be challenging. Figuring out what works for you early in the quarter is a good place to start. ,"Pro tips from UW Faculty: attend all classes, review lecture notes promptly, join a study group (meet 90 mins/week), and become comfortable asking for help. Try forming a study group or attending office hours early in the quarter -- both are a great way to deepen your understanding of course material.",Tips for Academic Success at UW,https://webster.uaa.washington.edu/asp/website/more/helpful-tips/tips-for-success-at-the-university-of-washington/,Library Resources,https://vimeo.com/129500678/d1ec4f2f39,Study Tonight at CLUE,https://webster.uaa.washington.edu/asp/website/get-help/clue/home/,UW Academic Resources,https://webster.uaa.washington.edu/asp/website/get-help/campus-resources/
4,10.15.18,autumn,18,Week 4,Study Skills,The Write Stuff,Faced with your first UW paper? Put your best foot forward by visiting The Odegaard Writing and Research Center (OWRC) to amplify and refine your skills.  ,Bring your paper draft to a writing consultant at OWRC–make an appointment today! ,Odegaard Writing and Research Center,https://depts.washington.edu/owrc/,Academic Writing,https://webster.uaa.washington.edu/asp/website/more/helpful-tips/writing/,Writing Resources,https://webster.uaa.washington.edu/asp/website/more/helpful-tips/writing-resources/,,
5,10.22.18,autumn,25,Week 5,Planning & Goals,Advisers and Coaches Can Help!,"Developing a good relationship with advisers and career coaches can be helpful on many levels. Get help in planning for your major, exploring classes of interest, and making connections to internship and career opportunities. ","Investigate information sessions, attend a workshop, or make an appointment to see an adviser or career coach. ",UAA Advising ,https://www.washington.edu/uaa/advising/,OMAD Advising ,http://depts.washington.edu/omadcs/,Departmental Advising ,https://www.washington.edu/uaa/advising/finding-help/advising-offices-by-program/,Career & Internship Center,https://careers.uw.edu/
6,10.29.18,autumn,32,Week 6,Life & Wellness,Feeling Stressed?,"It's normal to feel anxious your first quarter at UW. Thankfully, there are easy and constructive ways to help yourself feel better.","Get outdoors, exercise, eat well, and get good sleep. Talk to supportive friends and family members. You can also try meditation or simple breathing exercises.",The Importance of a Good Night's Sleep,http://depts.washington.edu/hhpccweb/health-resource/the-importance-of-getting-a-good-nights-sleep/,What is Mindfulness,https://www.washington.edu/ima/classes/mindfulness/what-is-mindfulness/,Get Help at UW Health & Wellness,http://www.washington.edu/studentlife/health/,Video: Students Talk about Mental Health at UW,https://www.youtube.com/watch?v=5e6QOb_FmGk
7,11.05.18,autumn,39,Week 7,Planning & Goals,"Money, Money, Money","Funding your higher education journey can be overwhelming, but there are lots of resources to help you make the most of your time (and money!).","Scholarships may still be available for this year, and it isn't too early to start thinking about next year. Remember that for financial aid, you need to have your FAFSA completed by January 15 for the 2019-20 year. ",Scholarship Database,http://expd.uw.edu/expo/scholarships,Scholarship Advising,http://expd.uw.edu/scholarships,Student Financial Aid ,https://www.washington.edu/financialaid/,,
8,11.12.18,autumn,46,Week 8,Study Skills,Finals Prep,"The key to success, especially during finals, is to study on your own and with a study group. It's not too late to get a group together. ","Talk to others in your class! Use your group to review lecture notes, predict test questions, and practice essay responses. ",Study Tips for Tests,https://webster.uaa.washington.edu/asp/website/more/helpful-tips/preparing-for-tests/,Tips for Reading Effectively,https://webster.uaa.washington.edu/asp/website/more/helpful-tips/effective-reading/,,,,
9,11.19.18,autumn,53,Week 9,Life & Wellness,Battle the Winter Blues,"With dark skies, cold weather, and more time indoors, winter can impact your mental and physical health. Reach out if you're sad, rest if you're sick. Take steps to boost your winter wellness.","Prevent illness and improve your mood by exercising regularly, connecting with friends, eating healthy, getting plenty of sleep, and keeping hydrated. ",Let's Talk,https://www.washington.edu/counseling/services/lets-talk/,Light Therapy for Seasonal Affective Disorder,https://www.washington.edu/counseling/services/light-therapy-for-sad/,24-hour UW Consulting Nurse - (206) 221-2517, http://depts.washington.edu/hhpccweb/consulting-nurse-service/,UW Health and Wellness,http://depts.washington.edu/livewell/
10,11.26.18,autumn,60,Week 10,Life & Wellness,Take Care,Finish the quarter strong by making healthy habits a priority. Research has shown that better sleep = better exam grades. Take care of yourself and your brain will thank you.,"Balance individual studying with group work. Take 10 minutes to recharge every hour. Snack smart for brain power. Aim for 7-8 hours of sleep a night. And when you're done, celebrate! ",Sleep linked to higher test scores,http://www.huffingtonpost.com/2014/06/22/sleep-hours-exam-performance_n_5516643.html,UW Recreation,https://www.washington.edu/ima/,Use Scout to Find Study Space and Nourishment,https://www.youtube.com/watch?v=1kJLj3hz7Ps&,,
11,12.3.18,autumn,,,,skipping week 11,,,,,,,,,,
