1107 Ne 45th Street (University District Building) (UDB),http://www.washington.edu/maps/?UDB,"47.660884417628,-122.31623754233"
1415 N.E. 45th Street (AHO),http://www.washington.edu/maps/?AHO,"47.661070985024,-122.31232783138"
1429 N.E. Boat Street (OTS),http://www.washington.edu/maps/?OTS,"47.650330275224,-122.31310291534"
3710 Brooklyn Avenue N.E. (WSG),http://www.washington.edu/maps/?WSG,"47.652101318354,-122.31417335582"
3716 Brooklyn Avenue N.E. (WSP),http://www.washington.edu/maps/?WSP,"47.652267022485,-122.31416372024"
3900/3902 University Way (EK),http://www.washington.edu/maps/?EK,"47.653749,-122.312877"
3930 Brooklyn Avenue N.E. (IC2),http://www.washington.edu/maps/?IC2,"47.654999,-122.314227"
3935 University Way N.E. (GCS),http://www.washington.edu/maps/?GCS,"47.654773119297,-122.31360992729"
3937 15th Avenue N.E. (ADI),http://www.washington.edu/maps/?ADI,"47.654318319108,-122.312463"
3939 University Way N.E. (EIC),http://www.washington.edu/maps/?EIC,"47.654893,-122.313624"
3941 University Way N.E. (DSC),http://www.washington.edu/maps/?DSC,"47.655027705971,-122.31362882209"
3945 15th Avenue N.E. (ADA),http://www.washington.edu/maps/?ADA,"47.6545403192,-122.31249618651"
4034 12Th Avenue N.E. (MSS),http://www.washington.edu/maps/?MSS,"47.656374093284,-122.31532618651"
4038 12Th Ave Ne (AU),http://www.washington.edu/maps/?AU,"47.656488546672,-122.31531472884"
4042 12Th Avenue N.E. (LSS),http://www.washington.edu/maps/?LSS,"47.656599773351,-122.31535045767"
4046 12Th Ave Ne (AZ),http://www.washington.edu/maps/?AZ,"47.656718546735,-122.31534418651"
4225 Roosevelt Way N.E. (Roosevelt I) (OTT),http://www.washington.edu/maps/?OTT,"47.658030867754,-122.31829735582"
4245 Roosevelt Way N.E. (Roosevelt Ii) (QUC),http://www.washington.edu/maps/?QUC,"47.658680206585,-122.31823152513"
4516 University Way Ne (AAC),http://www.washington.edu/maps/?AAC,"47.661662,-122.312796"
4518 University Way N.E. (Arcade Building) (AAB),http://www.washington.edu/maps/?AAB,"47.661810644447,-122.31277290675"
4522 University Way Ne (ZAK),http://www.washington.edu/maps/?ZAK,"47.662010870509,-122.31276454233"
4534 University Way Ne (Gelb Building) (GLB),http://www.washington.edu/maps/?GLB,"47.662263289682,-122.31276581349"
4545 15th Avenue NE (ADS),http://www.washington.edu/maps/?ADS,"47.661578866068,-122.31221844048"
45th Street Plaza Building (L039),http://www.washington.edu/maps/?L039,"47.661504545075,-122.31624922096"
4625 Union Bay Place (BOW),http://www.washington.edu/maps/?BOW,"47.662790225793,-122.2954802037"
668 N. E. Northlake Way (EHD),http://www.washington.edu/maps/?EHD,"47.654777453806,-122.32109181349"
909 N.E. 43Rd (Warren Building) (PRO),http://www.washington.edu/maps/?PRO,"47.65912200778,-122.31802881349"
Aerodynamics Laboratory (ADL),http://www.washington.edu/maps/?ADL,"47.654192,-122.305435"
Aerospace And Engineering Research Building (AER),http://www.washington.edu/maps/?AER,"47.653964545973,-122.30581118651"
Allen Center for the Visual Arts (AVA),http://www.washington.edu/maps/?AVA,"47.65629436012,-122.31151780426"
Allen Library (ALB),http://www.washington.edu/maps/?ALB,"47.655421278318,-122.30700745767"
Anderson Hall (AND),http://www.washington.edu/maps/?AND,"47.651769454638,-122.30754854233"
Architecture Hall (ARC),http://www.washington.edu/maps/?ARC,"47.654561,-122.310904"
Art Building (ART),http://www.washington.edu/maps/?ART,"47.658392,-122.306461"
Atmospheric Sciences-Geophysics Building (ATG),http://www.washington.edu/maps/?ATG,"47.654052091999,-122.30914383069"
Benjamin Hall Interdisciplinary Research Building (R&T Bldg) (RTB),http://www.washington.edu/maps/?RTB,"47.655246175817,-122.32134855952"
Benson Hall (BNS),http://www.washington.edu/maps/?BNS,"47.653046590015,-122.30956791534"
Bloedel Hall (BLD),http://www.washington.edu/maps/?BLD,"47.651298364319,-122.30766681349"
Botany Greenhouse (BGH),http://www.washington.edu/maps/?BGH,"47.652307772757,-122.31001818651"
Botany Greenhouse Annex (BHA),http://www.washington.edu/maps/?BHA,"47.652624908807,-122.31004610185"
Brooklyn Building (BRK),http://www.washington.edu/maps/?BRK,"47.656571,-122.314906"
Brooklyn Trail Building (BTB),http://www.washington.edu/maps/?BTB,"47.65464286541,-122.31476"
Bryants Annex (BRA),http://www.washington.edu/maps/?BRA,"47.652094,-122.315784"
Bryants Building (BRY),http://www.washington.edu/maps/?BRY,"47.652275954807,-122.31658035582"
