Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Academics,Advising & Tutoring,all,http://careers.washington.edu/,Career Center,,,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.uw.edu/career-development/career-development-education,Career Development and Education,no
Academics,Advising & Tutoring,ugrad,http://depts.washington.edu/aspuw/clue/home/,Center for Learning and Undergraduate Enrichment (CLUE),,,,,http://www.tacoma.uw.edu/teaching-learning-center/teaching-learning-center,Teaching and Learning Center,no
Academics,Advising & Tutoring,all,http://iss.washington.edu/,International Student Services (ISS),,,http://www.uwb.edu/iss,International Student Services (ISS),http://www.tacoma.uw.edu/international-student-services/welcome-international-student-scholar-services,International Student Services (ISS),no
Academics,Advising & Tutoring,all,http://depts.washington.edu/owrc,Odegaard Writing & Research Center,,,http://www.uwb.edu/wacc,Writing and Communication Center (WaCC),,,no
Academics,Advising & Tutoring,all,,,,,,,http://www.tacoma.uw.edu/teaching-and-learning-center/writing-resources-0,Academic Writing Resources,no
Academics,Advising & Tutoring,ugrad,http://www.washington.edu/uaa/advising/,Undergraduate Academic Advising (Pre-major),,,http://www.uwb.edu/cusp/advising,Undergraduate Academic Advising (Pre-major),http://www.tacoma.uw.edu/advising,Undergraduate Academic Advising (Pre-major),no
Academics,Advising & Tutoring,all,http://studyabroad.washington.edu/,Study Abroad,,,http://www.uwb.edu/globalinitiatives/abroad,Study Abroad,http://www.tacoma.uw.edu/international-programs/international-programs,Study Abroad,no
Academics,Grades & Transcripts,all,https://www.washington.edu/uaa/advising/grades-credits/gpa-calculator/,GPA Calculator,,,,,,,no
Academics,Grades & Transcripts,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/grades.aspx,Grade Report,,,,,,,yes
Academics,Grades & Transcripts,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/transcript.aspx,Order Official Transcripts,,,http://www.uwb.edu/registration/transcript,Order Official Transcripts,https://sdb.admin.uw.edu/sisStudents/uwnetid/transcript.aspx,Order Official Transcripts,yes
Academics,Grades & Transcripts,all,https://sdb.admin.uw.edu/students/uwnetid/unofficial.asp,Unofficial Transcript,,,,,,,yes
Academics,Graduation,all,http://www.washington.edu/students/reg/grad.html,Application for Graduation,,,https://www.uwb.edu/registration/graduation/apply,Applying for Graduation,http://www.tacoma.uw.edu/node/37921,Applying to Graduate,no
Academics,Husky Experience,fyp,/thrive_messages,Thrive Messages,,,,,,,no
Academics,Registration,all,http://www.washington.edu/students/reg/calendar.html,Academic Calendar,,,http://www.uwb.edu/calendars,Bothell Academic Calendar,http://www.washington.edu/students/reg/calendar.html,Academic Calendar,no
Academics,Registration,all,http://www.washington.edu/students/crscat/,Course Catalog,,,http://www.washington.edu/students/crscatb/,Course Catalog,http://www.washington.edu/students/crscatt/,Course Catalog,no
Academics,Registration,all,https://myplan.uw.edu/student/myplan/mplogin/netid?rd=/student/myplan/dars,Check Your Degree Progress (DARS),,,,,,,yes
Academics,Registration,all,https://uwstudent.washington.edu/student/myplan/mplogin/netid?rd=/student/myplan/,MyPlan,,,,,,,yes
Academics,Registration,all,https://notify.uw.edu/,Notify.UW,,,,,,,yes
Academics,Registration,all,https://sdb.admin.uw.edu/students/uwnetid/register.asp,Registration,,,,,,,yes
Academics,Registration,all,https://sdb.admin.uw.edu/timeschd/uwnetid/findschd.asp,Schedule Finder,,,https://sdb.admin.uw.edu/timeschd/uwnetid/findschd.asp,Schedule Finder,,,yes
Academics,Registration,all,http://www.washington.edu/students/timeschd/,UW Seattle Time Schedule,,,http://www.uwb.edu/registration/time,UW Bothell Time Schedule,http://www.tacoma.uw.edu/ts-quicksearch/,UW Tacoma Time Schedule,no
Academics,Registration,pce,http://www.washington.edu/students/timeschd/95index.html,Professional & Continuing Education Time Schedule,,,,,,,no
Academics,Tools & Software,all,http://canvas.uw.edu/,Canvas LMS,,,,,,,yes
Academics,Tools & Software,all,https://catalyst.uw.edu/,Catalyst Web Tools,,,,,,,yes
Academics,Tools & Software,all,https://notify.uw.edu/,Notify.UW,,,,,,,yes
Academics,Tools & Software,all,http://scout.uw.edu/seattle,Scout: Discover the UW,,,http://scout.uw.edu/bothell,Scout: Discover the UW,http://scout.uw.edu/tacoma,Scout: Discover the UW,no
Academics,Tools & Software,all,http://www.washington.edu/itconnect/wares/uware/tableau-software/,Tableau Data Analysis Software,,,,,,,no
Academics,Tools & Software,all,https://panopto.uw.edu/,Panopto,,,,,,,yes
"Accounts, Identity, and Email",Email & UW NetID,all,http://alpine.washington.edu/,Alpine Mail,,,,,,,yes
"Accounts, Identity, and Email",Email & UW NetID,all,https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,,,,,,yes
"Accounts, Identity, and Email",Email & UW NetID,all,https://uwnetid.washington.edu/manage/,Manage UW NetID Account,,,,,,,yes
"Accounts, Identity, and Email",,,outlook.office365.com/uw.edu,UW Office 365 Email,,,,,,,
"Accounts, Identity, and Email",,,mail.google.com/a/uw.edu,UW Gmail,,,,,,,
"Accounts, Identity, and Email",,,services.uwmedicine.org/passwordportal,UW Medicine Password Portal,,,,,,,
"Accounts, Identity, and Email",Email & UW NetID,,outlook.com/owa/myuw.net,MyUW.net Email,,,,,,,
"Accounts, Identity, and Email",Email & UW NetID,,itconnect.uw.edu/connect/email,Email and Calendaring Options,,,https://www.uwb.edu/it/service-catalog/email-and-calendaring,Email and Calendaring Options,http://www.tacoma.uw.edu/admissions/setting-your-uw-email,Setting up your UW email,
Services for Faculty and Staff,"HR, Payroll, and Benefits",,wd5.myworkday.com/uw/login.htmld,Workday,,,,,,,
Services for Faculty and Staff,"HR, Payroll, and Benefits",,isc.uw.edu,Integrated Service Center (ISC),,,,,,,
Services for Faculty and Staff,"HR, Payroll, and Benefits",,washington.edu/admin/hr/benefits,Benefits,,,https://www.uwb.edu/hr/benefits,Benefits,,,
Services for Faculty and Staff,"HR, Payroll, and Benefits",,isc.uw.edu/admin-corner,ISC Admin Corner,,,,,,,
Services for Faculty and Staff,"HR, Payroll, and Benefits",,https://www.washington.edu/wholeu/,Whole U,,,,,,,
Services for Faculty and Staff,Research,,ucs.admin.uw.edu/myfd,MyFinancial.Desktop,,,,,,,
Services for Faculty and Staff,Procurement,,f2.washington.edu/fm/ps/how-to-buy/ariba,ARIBA,,,,,,,
Services for Faculty and Staff,Procurement,,f2.washington.edu/fm/ps,Procurement Services,,,https://www.uwb.edu/finance/purchasing,Purchasing,http://www.tacoma.uw.edu/node/40039,Procurement Services,
Services for Faculty and Staff,Research,,lib.washington.edu/types,Start Your Research,,,,,http://www.tacoma.uw.edu/library/start-your-research,Start Your Research,
Services for Faculty and Staff,Research,,sage.washington.edu,SAGE,,,,,,,
