Title,OLD Fac Code,NEW Building ID,OLD Post URL,OLD Resolved URL,OLD Query String URL,NEW URL,Notes
1107 Ne 45th Street (UDB) (University District Building),UDB,,https://www.washington.edu/maps/2011/04/28/1107-ne-45th-street-university-district-building/,https://www.washington.edu/maps/#!/UDB,https://www.washington.edu/maps/?UDB,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.66088202105209,-122.31622375430061?z/17.534120624392376?lvl/0?share",
1303 N.E. Boat Street,1303-n-e-boat-street,,https://www.washington.edu/maps/2017/11/22/1303-n-e-boat-street/,https://www.washington.edu/maps/#!/1303-n-e-boat-street,https://www.washington.edu/maps/?1303-n-e-boat-street,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65144723346697,-122.31471443838365?z/18.261837325343972?lvl/0?share",
1415 N.E. 45th Street (AHO),AHO,,https://www.washington.edu/maps/2013/05/29/1415-ne-45th-street-aho/,https://www.washington.edu/maps/#!/AHO,https://www.washington.edu/maps/?AHO,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.661107872943234,-122.31231973489673?z/17.613903731836952?lvl/0?share",
1425 N.E. Boat Street,1425-n-e-boat-street,,https://www.washington.edu/maps/2017/11/22/1425-n-e-boat-street/,https://www.washington.edu/maps/#!/1425-n-e-boat-street,https://www.washington.edu/maps/?1425-n-e-boat-street,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65021453901164,-122.31314219126648?z/18.261837325343972?lvl/0?share",
1429 N.E. Boat Street (OTS),OTS,973246,https://www.washington.edu/maps/2011/04/28/1429-n-e-boat-street/,https://www.washington.edu/maps/#!/OTS,https://www.washington.edu/maps/?OTS,https://map.uw.edu/?id=2099#!m/973246?share,
2104 House (RUS),RUS,,https://www.washington.edu/maps/2011/04/28/2104-house/,https://www.washington.edu/maps/#!/RUS,https://www.washington.edu/maps/?RUS,https://map.uw.edu/,Not on the new map
3710 Brooklyn Avenue N.E.,3710-brooklyn-avenue-n-e,,https://www.washington.edu/maps/2011/04/28/3710-brooklyn-avenue-n-e/,https://www.washington.edu/maps/#!/3710-brooklyn-avenue-n-e,https://www.washington.edu/maps/?3710-brooklyn-avenue-n-e,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.6521260881629,-122.31410241242679?z/17.963650617590073?lvl/0?share",
3716 Brooklyn Avenue N.E. (WSG),WSG,969810,https://www.washington.edu/maps/2011/04/28/3716-brooklyn-avenue-n-e/,https://www.washington.edu/maps/#!/WSG,https://www.washington.edu/maps/?WSG,https://map.uw.edu/?id=2099#!m/969810?share,
3900/3902 University Way (EK),EK,1028845,https://www.washington.edu/maps/2011/04/28/39003902-university-way/,https://www.washington.edu/maps/#!/EK,https://www.washington.edu/maps/?EK,https://map.uw.edu/?id=2099#!m/1028845?share,Associated Fac Code(s): WCUP
3930 Brooklyn Avenue N.E. (IC2),IC2,1005975,https://www.washington.edu/maps/2011/04/28/3930-brooklyn-avenue-n-e/,https://www.washington.edu/maps/#!/IC2,https://www.washington.edu/maps/?IC2,https://map.uw.edu/?id=2099#!m/1005975?share,
3935 University Way N.E. (GCS),GCS,969814,https://www.washington.edu/maps/2013/05/29/3935-university-way-n-e-gcs/,https://www.washington.edu/maps/#!/GCS,https://www.washington.edu/maps/?GCS,https://map.uw.edu/?id=2099#!m/969814?share,
3939 University Way N.E. (EIC),EIC,969813,https://www.washington.edu/maps/2011/04/28/3939-university-way-n-e/,https://www.washington.edu/maps/#!/EIC,https://www.washington.edu/maps/?EIC,https://map.uw.edu/?id=2099#!m/969813?share,
3941 University Way N.E. (DSC),DSC,969805,https://www.washington.edu/maps/2011/04/28/3941-university-way-n-e/,https://www.washington.edu/maps/#!/DSC,https://www.washington.edu/maps/?DSC,https://map.uw.edu/?id=2099#!m/969805?share,
4225 Roosevelt Way N.E. (Roosevelt I) (OTT),OTT,,https://www.washington.edu/maps/2011/04/28/4225-roosevelt-way-n-e-roosevelt-i/,https://www.washington.edu/maps/#!/OTT,https://www.washington.edu/maps/?OTT,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65822007397122,-122.31832847159274?z/18.09496578134396?lvl/0?share",
4245 Roosevelt Way N.E. (QUC) (Roosevelt II),QUC,,https://www.washington.edu/maps/2011/04/28/4245-roosevelt-way-n-e-roosevelt-ii/,https://www.washington.edu/maps/#!/QUC,https://www.washington.edu/maps/?QUC,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65879154264081,-122.31853903728285?z/18.09496578134396?lvl/0?share",
