URL,Label,campus,affiliation,pce
https://canvas.uw.edu/,Canvas LMS,,instructor,
https://canvas.uw.edu/,Canvas LMS,,student,
https://myplan.uw.edu,MyPlan,,student,
https://myplan.uw.edu/audit/#/degree,MyPlan DARS,,student,
https://register.uw.edu,Registration (Register.UW),,student,
https://sdb.admin.uw.edu/sisStudents/uwnetid/grades.aspx,Grade Report,,student,
https://sdb.admin.uw.edu/sisStudents/uwnetid/finaidstatus.aspx,Financial Aid Status,,student,
https://sdb.admin.uw.edu/sisStudents/uwnetid/tuition.aspx,Tuition Statemen,,student,
https://sdb.admin.uw.edu/students/uwnetid/unofficial.asp,Unofficial Transcript,,student,
https://www.uwb.edu/registrar/time,Time Schedule - Bothell,bothell,student,
https://www.washington.edu/students/timeschd/,Time Schedule - Seattle,seattle,student,
https://www.washington.edu/students/timeschd/T/,Time Schedule - Tacoma,tacoma,student,
https://www.washington.edu/students/timeschd/95index.html,Time Schedule - PCE,,student,yes
https://wellbeing.uw.edu/,Husky Health & Well-Being,seattle,student,
https://iss.washington.edu/,International Student Services (ISS),seattle,intl_stud,
https://www.uwb.edu/cie,Center for International Education (CIE),bothell,intl_stud,
https://www.tacoma.uw.edu/international-student-services/welcome-international-student-scholar-services,International Student and Scholar Services (ISSS),tacoma,intl_stud,
https://uwconnect.uw.edu/it?id=kb_article_view&sysparm_article=KB0034358,Google Apps,,student,
https://uwconnect.uw.edu/it?id=kb_article_view&sysparm_article=KB0034358,Google Apps,,employee,
https://panopto.uw.edu,Panopto,,instructor,
https://teaching.washington.edu/,Teaching Strategies,,instructor,
https://webster.uaa.washington.edu/asp/website/online-learning/,Online Learning Resources,seattle,student,
https://www.uwb.edu/it/learning,Learn Anywhere,bothell,student,
https://www.tacoma.uw.edu/digital-learning/student-online-support,Online Learning Support,tacoma,student,
https://wd5.myworkday.com/uw/login.htmld,Workday,,employee,
https://identity.uw.edu/,Identity.UW,,,
https://uwnetid.washington.edu/manage/,Manage UW NetID Account,,,
https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,alumni,
https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,retiree,
https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,past_stud,
https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,past_employee,
https://www.washington.edu/home/peopledir/,Directory Search,,,
https://m365.cloud.microsoft/apps/,Office 365 Apps,,student,
https://m365.cloud.microsoft/apps/,Office 365 Apps,,employee,
https://it.uw.edu/,UWConnect,,employee,
https://www.lib.washington.edu/,UW Libraries - Seattle,seattle,,
https://library.uwb.edu/,UW Libraries - Bothell,bothell,,
https://www.tacoma.uw.edu/library,UW Libraries - Tacoma,tacoma,,
https://washington.zoom.us/,Zoom,,,
https://careers.uw.edu/companies/,Husky Jobs,,alumni,
https://www.washington.edu/news/,UW News,,alumni,
https://www.uwb.edu/news,UW Bothell News,,alumni,
https://www.tacoma.uw.edu/news/news-information,UW Tacoma News,,alumni,
https://hr.uw.edu/jobs/,UW Jobs,,alumni,
https://hr.uw.edu/jobs/,UW Jobs,,employee,
https://hr.uw.edu/jobs/,UW Jobs,,retiree,
https://hr.uw.edu/jobs/,UW Jobs,,past_employee,
https://www.washington.edu/news/,UW News,,retiree,
https://www.uwb.edu/news,UW Bothell News,,retiree,
https://www.tacoma.uw.edu/news/news-information,UW Tacoma News,,retiree,
https://hr.uw.edu/jobs/,UW Jobs,,past_employee,
https://www.washington.edu/news/,UW News,,past_employee,
https://www.uwb.edu/news,UW Bothell News,,past_employee,
https://www.tacoma.uw.edu/news/news-information,UW Tacoma News,,past_employee,
https://hr.uw.edu/jobs/,UW Jobs,,past_stud,
https://www.washington.edu/news/,UW News,,past_stud,
https://www.uwb.edu/news,UW Bothell News,,past_stud,
https://www.tacoma.uw.edu/news/news-information,UW Tacoma News,,past_stud,
https://www.tacoma.uw.edu/news/news-information,UW Tacoma News,,past_stud,
