Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Academics,Advising & Tutoring,all,,,http://careers.uw.edu/,Career & Internship Center,http://www.bothell.washington.edu/careers,Career Services,https://www.tacoma.uw.edu/career,Career Development and Education,no
Academics,Advising & Tutoring,all,https://careers.uw.edu/graduate-students/,Career & Internship Center - Graduate Student Resources,,,,,,,no
Academics,Advising & Tutoring,all,,,https://webster.uaa.washington.edu/asp/website/,Center for Learning and Undergraduate Enrichment (CLUE),https://webster.uaa.washington.edu/asp/website/,Center for Learning and Undergraduate Enrichment (CLUE),http://www.tacoma.uw.edu/teaching-learning-center/teaching-learning-center,Teaching and Learning Center,no
Academics,Advising & Tutoring,all,,,http://iss.washington.edu/,International Student Services (ISS),http://www.uwb.edu/iss,International Student Services (ISS),http://www.tacoma.uw.edu/international-student-services/welcome-international-student-scholar-services,International Student Services (ISS),no
Academics,Advising & Tutoring,all,,,http://depts.washington.edu/owrc,Odegaard Writing & Research Center,http://www.uwb.edu/wacc,Writing and Communication Center (WaCC),https://www.tacoma.uw.edu/teaching-and-learning-center/writing-resources,Writing Center,no
Academics,Advising & Tutoring,all,,,,,,,http://www.tacoma.uw.edu/teaching-and-learning-center/writing-resources-0,Academic Writing Resources,no
Academics,Advising & Tutoring,all,,,http://www.washington.edu/uaa/advising/,Undergraduate Academic Advising (Pre-major),http://www.uwb.edu/cusp/advising,Undergraduate Academic Advising (Pre-major),https://www.tacoma.uw.edu/uaa/university-academic-advising,Undergraduate Academic Advising (Pre-major),no
Academics,Advising & Tutoring,all,,,http://studyabroad.washington.edu/,Study Abroad,http://www.uwb.edu/globalinitiatives/abroad,Study Abroad,https://www.tacoma.uw.edu/node/37705,Study Abroad,no
Academics,Advising & Tutoring,all,https://grad.uw.edu/for-students-and-post-docs/,The Graduate School Student Resources,,,,,,,no
Academics,Advising & Tutoring,all,https://grad.uw.edu/for-students-and-post-docs/core-programs/,Graduate School Core Programs,,,,,,,no
Academics,Grades & Transcripts,all,https://www.washington.edu/uaa/advising/academic-planning/plan-your-degree/,GPA Calculator,,,,,,,no
